MNI_Caudate_L_roi.mat,MNI_Caudate_R_roi.mat,MNI_Cingulum_Ant_L_roi.mat,MNI_Cingulum_Ant_R_roi.mat,MNI_Cingulum_Mid_L_roi.mat,MNI_Cingulum_Mid_R_roi.mat,MNI_Cingulum_Post_L_roi.mat,MNI_Cingulum_Post_R_roi.mat,MNI_Cuneus_L_roi.mat,MNI_Cuneus_R_roi.mat,MNI_Frontal_Inf_Oper_L_roi.mat,MNI_Frontal_Inf_Oper_R_roi.mat,MNI_Frontal_Inf_Orb_L_roi.mat,MNI_Frontal_Inf_Orb_R_roi.mat,MNI_Frontal_Inf_Tri_L_roi.mat,MNI_Frontal_Inf_Tri_R_roi.mat,MNI_Frontal_Med_Orb_L_roi.mat,MNI_Frontal_Med_Orb_R_roi.mat,MNI_Frontal_Mid_L_roi.mat,MNI_Frontal_Mid_R_roi.mat,MNI_Frontal_Mid_Orb_L_roi.mat,MNI_Frontal_Mid_Orb_R_roi.mat,MNI_Frontal_Sup_L_roi.mat,MNI_Frontal_Sup_R_roi.mat,MNI_Frontal_Sup_Medial_L_roi.mat,MNI_Frontal_Sup_Medial_R_roi.mat,MNI_Frontal_Sup_Orb_L_roi.mat,MNI_Frontal_Sup_Orb_R_roi.mat,MNI_Insula_L_roi.mat,MNI_Insula_R_roi.mat,MNI_Precuneus_L_roi.mat,MNI_Precuneus_R_roi.mat,MNI_Putamen_L_roi.mat,MNI_Putamen_R_roi.mat,MNI_Temporal_Inf_L_roi.mat,MNI_Temporal_Inf_R_roi.mat,MNI_Temporal_Mid_L_roi.mat,MNI_Temporal_Mid_R_roi.mat,MNI_Temporal_Pole_Mid_L_roi.mat,MNI_Temporal_Pole_Mid_R_roi.mat,MNI_Temporal_Pole_Sup_L_roi.mat,MNI_Temporal_Pole_Sup_R_roi.mat,MNI_Temporal_Sup_L_roi.mat,MNI_Temporal_Sup_R_roi.mat,MNI_Occipital_Inf_L_roi.mat,MNI_Occipital_Inf_R_roi.mat
-0.06019147,-0.01205626,0.1663078,0.2872037,-0.1597938,-0.1080817,-0.4128364,-0.3891461,-0.2729797,-0.2301413,-0.07193251,0.05254481,-0.003932875,0.3484492,0.001716997,0.1572657,0.2702495,0.3711508,0.2720602,0.3630537,0.3340798,0.775194,0.2972705,0.3477854,0.3800204,0.3958843,0.01383075,0.3280948,-0.1433507,-0.05769663,-0.1931361,-0.1914596,-0.2145672,-0.07550949,-0.2345933,-0.04960576,-0.2260172,-0.113071,0.4209173,0.1512532,0.2782772,0.1500953,-0.2366134,-0.1815925,-0.116157,-0.4022414
0.1694221,0.1883824,0.1565273,0.177999,0.01399442,0.0349809,-0.2320816,-0.1688919,-0.2240907,-0.1942845,0.1196842,0.07294431,0.1324783,0.1367558,0.1632521,0.06076942,-0.0932639,0.07988219,0.1600311,0.1267277,0.1448917,0.1742453,0.1061269,0.09856311,0.1174178,0.15861,0.1147137,0.1648765,0.1628486,0.1301319,-0.1899813,-0.2111255,0.07015026,0.122845,0.02672101,-0.005728606,-0.09398938,-0.1225625,0.3671922,0.332764,0.08693845,0.1820647,0.03608784,-0.008180002,-0.1673263,-0.0990901
0.038204,0.04196656,0.08034362,0.04111589,0.04516613,0.01538919,0.01177598,-0.01657087,0.00158184,-0.05023007,0.1040884,-0.03408825,0.05244851,0.001660427,0.1426954,0.02044182,0.08217569,0.01606424,0.09257145,-0.002461183,0.08111193,0.004522655,0.0684716,-0.001593672,0.06799178,0.02407896,0.09884357,0.04481655,0.09528649,0.07875541,-0.08148549,-0.113396,0.07938487,0.05965472,-0.02007543,0.004007539,0.05122047,-0.05658941,0.2410187,0.1508915,0.05042048,0.001805751,0.1699716,0.07839264,-0.04814704,-0.01086314
1.055374,1.097329,1.306412,1.437721,0.5370487,0.6723934,-0.1364878,-0.2986211,-0.6655185,-0.535723,0.9200163,0.9498697,1.101099,1.112664,1.015648,1.234617,1.240548,1.251485,1.135842,1.339574,1.293387,1.45955,1.256043,1.415974,1.503877,1.706799,0.7975716,0.9176623,0.8243582,0.8566573,-0.277783,-0.3175501,0.7464621,0.8095619,0.2870025,0.313847,-0.05899901,0.1399937,1.432441,1.081262,1.023215,0.7061796,0.2372417,0.3064168,-1.122806,-0.3081151
0.0117561,0.06351172,0.08826102,0.1353619,-0.09178636,-0.04695848,-0.2614849,-0.2321525,-0.2465566,-0.2199033,0.05186487,0.09638391,0.07401074,0.1368826,0.07363643,0.1385442,-0.09528633,0.003134887,0.0754454,0.1536358,0.08642316,0.1361516,0.06895889,0.1156363,0.07851382,0.1274055,0.08951484,0.1293206,0.06927127,0.07649339,-0.2511264,-0.2078629,0.02933397,0.01296604,-0.03384625,-0.01691696,-0.05329068,-0.08814095,0.2032155,0.2577591,0.02862822,0.2375152,0.1218872,0.0438946,-0.106274,-0.190556
0.1151527,0.1245409,0.2932601,0.3186966,-0.000410241,0.03289025,-0.4417721,-0.4146051,-0.5034906,-0.3743205,0.2458054,0.1238815,0.2605018,0.1655839,0.3394934,0.1224208,-0.01927879,0.1988969,0.4300512,0.2984113,0.3154589,0.3819622,0.3791066,0.3160622,0.2235188,0.3816217,0.03837105,0.3566972,0.1587008,0.04963283,-0.1924016,-0.1995824,0.1909136,0.1556075,0.04860086,0.0582429,-0.02019291,-0.202238,0.5870721,0.5019843,0.1315512,0.157756,-0.1650809,-0.1670042,-0.2382992,-0.2466791
0.6080624,0.6031116,0.7455198,0.7857241,0.3762197,0.4165211,0.07238604,0.09144546,-0.1721357,-0.1143415,0.593631,0.5512463,0.683409,0.7834701,0.6083367,0.5695902,0.5929093,0.6503794,0.7487438,0.7080756,0.6409346,0.7479976,0.6838267,0.6714045,0.91582,0.8702403,0.6816996,0.7348508,0.5850871,0.5341672,0.08629083,0.089927,0.655361,0.660599,0.3651944,0.3864925,0.26069,0.2494688,1.062948,1.043089,0.7998637,0.8412271,0.4137957,0.3786082,-0.1920491,-0.0995177
0.03071659,0.02122394,0.08254213,0.1175905,0.1597358,0.1269832,0.095306,0.0206773,-0.1215971,-0.07283458,0.003407534,-0.01831107,0.03305367,-0.08842809,0.01908474,-0.09213245,0.02626875,0.09258938,0.03121529,-0.006135696,0.08394163,0.04008385,0.0236481,-0.008212263,0.07373143,0.1241582,0.1350213,0.06513455,0.03912249,0.07002675,-0.03103265,-0.02443208,0.01552516,0.008534821,-0.00663207,-0.0675813,0.01465993,0.02166001,0.2198384,0.2095378,0.08229239,0.02557541,-0.008486724,0.06907633,0.1193202,0.1754484
0.1566177,0.1424998,0.1984236,0.1960576,0.007453688,0.005794126,-0.1533561,-0.2003497,-0.182806,-0.2031422,0.1229021,0.03706307,0.2478643,0.192369,0.163937,0.01428015,0.1394139,0.1057438,0.2283854,0.06779395,0.2767778,0.2149535,0.1601502,0.0786743,0.2196074,0.1630965,0.2251479,0.1790931,0.2027104,0.1130045,-0.2351474,-0.2683166,0.1925374,0.143799,0.0667307,-0.004077015,0.0570892,-0.04183979,0.2981215,0.3038635,0.1594256,0.139736,0.1425841,0.0838464,-0.1272431,-0.06269513
-0.03601561,0.005554458,0.09132683,0.1267183,-0.1015355,-0.0198305,-0.2039963,-0.2716567,-0.2508622,-0.1463409,0.1836605,0.2116477,0.2458282,0.3833368,0.1568991,-0.001824435,-0.2481005,-0.1470117,0.1416974,0.06707876,-0.01320048,0.2016318,0.1412241,0.1156694,0.1029611,0.05110847,0.1709144,0.161403,0.2094265,0.2848405,-0.156606,-0.1313354,-0.03753872,0.08343382,-0.2152789,-0.4674774,-0.03274209,-0.2201711,0.283173,0.3894763,0.2109071,0.2760358,-0.002559029,0.01272875,0.06232744,0.05576408
