acc_pFgA_z_FDR_0_roi.mat,amygdala_pFgA_z_FDR_0_roi.mat,anterior insula_pFgA_z_FDR_0_roi.mat,anterior prefrontal_pFgA_z_FDR_0_roi.mat,caudate_pFgA_z_FDR_0_roi.mat,dacc_pFgA_z_FDR_0_roi.mat,dlpfc_pFgA_z_FDR_0_roi.mat,dmpfc_pFgA_z_FDR_0_roi.mat,medial orbitofrontal_pFgA_z_FDR_0_roi.mat,mpfc_pFgA_z_FDR_0_roi.mat,nucleus accumbens_pFgA_z_FDR_0_roi.mat,orbitofrontal cortex_pFgA_z_FDR_0_roi.mat,precuneus_pFgA_z_FDR_0_roi.mat,psts_pFgA_z_FDR_0_roi.mat,putamen_pFgA_z_FDR_0_roi.mat,striatum_pFgA_z_FDR_0_roi.mat,subgenual_pFgA_z_FDR_0_roi.mat,temporoparietal junction_pFgA_z_FDR_0_roi.mat,ventral striatum_pFgA_z_FDR_0_roi.mat,vlpfc_pFgA_z_FDR_0_roi.mat,vmpfc_pFgA_z_FDR_0_roi.mat
0.1348881,-0.1371949,-0.3290177,-0.2240837,0.01240804,-0.09774524,0.04054952,0.01588211,0.05425496,-0.2134955,-0.4087656,-0.08884745,0.1240281,0.09889499,0.5655819,0.3176786,-0.04297577,-0.1791311,0.2765588,0.07931071,-0.09257628
0.2672695,0.02987256,-0.1499468,-0.5006639,-0.06456976,0.04284398,-0.1753504,0.08261666,-0.8933579,-0.1898929,-0.877626,-0.1064306,-1.340795,0.2403152,-0.2983901,0.4752971,-0.4247887,-0.2289965,0.3477539,0.1545036,0.5560072
0.1743974,-0.02387369,-0.1330744,-0.07305458,-0.02149478,0.1504943,-0.01168513,0.1038178,-0.08640783,-0.01972098,-0.00487352,-0.08471307,-0.02421799,0.05385364,0.01816075,-0.08900605,0.03481228,-0.09857684,-0.07644862,0.02992263,-0.02510284
-0.07859806,0.2489974,0.2056363,-0.06498974,0.02131027,-0.02246617,-0.3282999,-0.004764187,-0.04314856,0.1610569,0.2440885,0.03908719,0.07279399,0.2951541,0.200253,-0.008562149,0.1025707,-0.1637314,-0.03089718,-0.06780363,0.2693745
0.1465068,0.02648338,0.07378244,-0.1728386,-0.01796785,0.2671908,0.3044861,-0.312934,-0.3751727,0.1071226,-0.08831441,0.1350286,0.2572812,0.2547673,-0.08324015,0.6692672,-0.07843995,-0.03192167,0.6197739,0.1242977,-0.2646949
0.02074548,-0.0800661,-0.06072378,-0.1011186,-0.09040371,0.1987112,-0.009978098,-0.2326448,-0.04258067,-0.000472366,-0.149401,0.07234461,-0.09777665,-0.01445043,0.01869777,0.1624139,0.01830392,0.1405032,0.2260332,0.07866015,-0.1346575
-0.003470921,-0.2966629,-0.6708731,0.1184344,0.1150984,-0.2198543,-0.7090687,0.06639756,0.1650251,-0.05335015,0.3956649,-0.09992238,0.06734277,-0.1021956,0.02474227,-0.4243796,0.01962047,0.05795172,-0.4361318,-0.161523,-0.009750682
0.3515099,0.04053562,-0.0304182,-0.244275,-0.03692972,0.3089714,0.03773239,-0.3487953,-0.204828,-0.06235487,-0.1189593,-0.009585541,-0.4828902,0.2759714,-0.04717279,0.3301807,-0.07683533,-0.1614646,0.2993218,0.2950512,-0.4947687
-0.08752955,-0.407836,-0.100835,-1.693861,-0.1517117,-0.1912263,-0.5164165,1.852494,0.4290031,0.1585484,0.2282886,0.005672124,0.1944886,0.1155479,0.09527944,-0.2140739,0.1507314,0.03970076,-0.09731078,-0.1279902,0.4919758
0.1589634,0.1379099,0.2008072,-0.3013026,0.1674336,0.319868,-0.06250923,-0.1632037,0.08472589,0.03594042,0.06121197,0.0821833,-0.2370326,0.1989096,0.2584186,0.4110661,0.09216823,-0.1122267,0.4159975,0.185918,-0.0277285
